shelf_order,basket,author,work_title,work_urn,edition_urn,language,source_repository,source_commit,source_path,license_spdx,rights_review
1,poetry_and_drama,P. Vergilius Maro (Virgil),Aeneid,urn:cts:latinLit:phi0690.phi003,urn:cts:latinLit:phi0690.phi003.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0690/phi003/phi0690.phi003.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
2,poetry_and_drama,Ovid,Metamorphoses,urn:cts:latinLit:phi0959.phi006,urn:cts:latinLit:phi0959.phi006.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0959/phi006/phi0959.phi006.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
3,poetry_and_drama,Horace,Odes,urn:cts:latinLit:phi0893.phi001,urn:cts:latinLit:phi0893.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0893/phi001/phi0893.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
4,poetry_and_drama,"Plautus, Titus Maccius",Amphitruo,urn:cts:latinLit:phi0119.phi001,urn:cts:latinLit:phi0119.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0119/phi001/phi0119.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
5,poetry_and_drama,Martial,Epigrammata,urn:cts:latinLit:phi1294.phi002,urn:cts:latinLit:phi1294.phi002.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1294/phi002/phi1294.phi002.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
6,poetry_and_drama,Prudentius,Psychomachia,urn:cts:latinLit:stoa0238.stoa002,urn:cts:latinLit:stoa0238.stoa002.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0238/stoa002/stoa0238.stoa002.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
7,history_and_biography,Julius Caesar,Gallic War,urn:cts:latinLit:phi0448.phi001,urn:cts:latinLit:phi0448.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0448/phi001/phi0448.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
8,history_and_biography,Sallust,Catilinae Coniuratio,urn:cts:latinLit:phi0631.phi001,urn:cts:latinLit:phi0631.phi001.perseus-lat3,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0631/phi001/phi0631.phi001.perseus-lat3.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
9,history_and_biography,Titus Livius (Livy),Ab urbe condita,urn:cts:latinLit:phi0914.phi001,urn:cts:latinLit:phi0914.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0914/phi001/phi0914.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
10,history_and_biography,"Tacitus, Cornelius",Historiae,urn:cts:latinLit:phi1351.phi004,urn:cts:latinLit:phi1351.phi004.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1351/phi004/phi1351.phi004.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
11,history_and_biography,Suetonius,Divus Julius,urn:cts:latinLit:phi1348.abo011,urn:cts:latinLit:phi1348.abo011.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1348/abo011/phi1348.abo011.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
12,history_and_biography,Ammianus Marcellinus,Res Gestae,urn:cts:latinLit:stoa0023.stoa001,urn:cts:latinLit:stoa0023.stoa001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0023/stoa001/stoa0023.stoa001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
13,philosophy_and_rhetoric,"Cicero, Marcus Tullius",de Natura Deorum,urn:cts:latinLit:phi0474.phi050,urn:cts:latinLit:phi0474.phi050.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0474/phi050/phi0474.phi050.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
14,philosophy_and_rhetoric,"Cicero, Marcus Tullius",De Officiis,urn:cts:latinLit:phi0474.phi055,urn:cts:latinLit:phi0474.phi055.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0474/phi055/phi0474.phi055.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
15,philosophy_and_rhetoric,"Seneca, Lucius Annaeus",Epistulae,urn:cts:latinLit:phi1017.phi015,urn:cts:latinLit:phi1017.phi015.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1017/phi015/phi1017.phi015.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
16,philosophy_and_rhetoric,Quintilian,Institutio Oratoria,urn:cts:latinLit:phi1002.phi001,urn:cts:latinLit:phi1002.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1002/phi001/phi1002.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
17,philosophy_and_rhetoric,Boethius,De consolatione philosophiae,urn:cts:latinLit:stoa0058.stoa001,urn:cts:latinLit:stoa0058.stoa001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0058/stoa001/stoa0058.stoa001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
18,philosophy_and_rhetoric,Lucretius,De Rerum Natura,urn:cts:latinLit:phi0550.phi001,urn:cts:latinLit:phi0550.phi001.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0550/phi001/phi0550.phi001.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
19,knowledge_and_everyday_life,"Pliny, the Elder",Naturalis Historia,urn:cts:latinLit:phi0978.phi001,urn:cts:latinLit:phi0978.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
20,knowledge_and_everyday_life,"Celsus, Aulus Cornelius",De Medicina,urn:cts:latinLit:phi0836.phi002,urn:cts:latinLit:phi0836.phi002.perseus-lat5,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0836/phi002/phi0836.phi002.perseus-lat5.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
21,knowledge_and_everyday_life,"Columella, Lucius Junius Moderatus",Res Rustica,urn:cts:latinLit:phi0845.phi002,urn:cts:latinLit:phi0845.phi002.perseus-lat3,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi0845/phi002/phi0845.phi002.perseus-lat3.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
22,knowledge_and_everyday_life,Vitruvius Pollio,On Architecture,urn:cts:latinLit:phi1056.phi001,urn:cts:latinLit:phi1056.phi001.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1056/phi001/phi1056.phi001.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
23,knowledge_and_everyday_life,"Gellius, Aulus",Noctes Atticae,urn:cts:latinLit:phi1254.phi001,urn:cts:latinLit:phi1254.phi001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1254/phi001/phi1254.phi001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
24,knowledge_and_everyday_life,"Pliny, the Younger",Epistulae,urn:cts:latinLit:phi1318.phi001,urn:cts:latinLit:phi1318.phi001.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/phi1318/phi001/phi1318.phi001.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
25,late_antique_and_christian,Tertullian,Apologeticum,urn:cts:latinLit:stoa0275.stoa009,urn:cts:latinLit:stoa0275.stoa009.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0275/stoa009/stoa0275.stoa009.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
26,late_antique_and_christian,Tertullian,De Anima,urn:cts:latinLit:stoa0275.stoa010,urn:cts:latinLit:stoa0275.stoa010.opp-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0275/stoa010/stoa0275.stoa010.opp-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
27,late_antique_and_christian,"Jerome, Saint",Epistolae,urn:cts:latinLit:stoa0162.stoa004,urn:cts:latinLit:stoa0162.stoa004.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0162/stoa004/stoa0162.stoa004.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
28,late_antique_and_christian,"Minucius Felix, Marcus",Octavius,urn:cts:latinLit:stoa0203.stoa001,urn:cts:latinLit:stoa0203.stoa001.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0203/stoa001/stoa0203.stoa001.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
29,late_antique_and_christian,Boethius,De Fide Catholica,urn:cts:latinLit:stoa0058.stoa006,urn:cts:latinLit:stoa0058.stoa006.perseus-lat1,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0058/stoa006/stoa0058.stoa006.perseus-lat1.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
30,late_antique_and_christian,Prudentius,Apotheosis,urn:cts:latinLit:stoa0238.stoa005,urn:cts:latinLit:stoa0238.stoa005.perseus-lat2,lat,PerseusDL/canonical-latinLit,76b87b04b36afe2cbcd70e285b4ceb248b103438,sources/raw/perseus-latin/data/stoa0238/stoa005/stoa0238.stoa005.perseus-lat2.xml,CC-BY-SA-4.0,repository_default_no_conflict_found
